X,Y,Z
0.0,0.5555702447891235,0.8314695954322815
0.0,0.8314695954322815,0.5555702447891235
0.0,0.9807852506637572,0.1950903236865997
0.0,1.0,0.0
0.0,0.9807852506637572,-0.1950903236865997
0.0,0.8314695954322815,-0.5555702447891235
0.0380602329969406,0.1913417130708694,0.9807852506637572
0.0746578425168991,0.3753302991390228,0.9238795042037964
0.1083863824605941,0.5448951125144958,0.8314695954322815
0.1379496902227401,0.6935198903083801,0.7071067690849304
0.1622116714715957,0.815493106842041,0.5555702447891235
0.1802399456501007,0.906127393245697,0.3826834559440613
0.1913417130708694,0.9619396924972534,0.1950903236865997
0.1950903236865997,0.9807852506637572,0.0
0.1913417130708694,0.9619396924972534,-0.1950903236865997
0.1802399456501007,0.906127393245697,-0.3826834559440613
0.1622116714715957,0.815493106842041,-0.5555702447891235
0.1379496902227401,0.6935198903083801,-0.7071067690849304
0.1083863824605941,0.5448951125144958,-0.8314695954322815
0.0746578425168991,0.3753302991390228,-0.9238795042037964
0.0380602329969406,0.1913417130708694,-0.9807852506637572
0.0746578276157379,0.1802399456501007,0.9807852506637572
0.1464466154575348,0.3535534143447876,0.9238795042037964
0.2126075327396392,0.513279914855957,0.8314695954322815
0.2705980539321899,0.6532814502716064,0.7071067690849304
0.3181896209716797,0.7681776285171509,0.5555702447891235
0.3535533547401428,0.8535533547401428,0.3826834559440613
0.3753302693367004,0.906127393245697,0.1950903236865997
0.3826834261417389,0.9238794445991516,0.0
0.3753302693367004,0.906127393245697,-0.1950903236865997
0.3535533547401428,0.8535533547401428,-0.3826834559440613
0.3181896209716797,0.7681776285171509,-0.5555702447891235
0.2705980539321899,0.6532814502716064,-0.7071067690849304
0.2126075327396392,0.513279914855957,-0.8314695954322815
0.1464466154575348,0.3535534143447876,-0.9238795042037964
0.0746578276157379,0.1802399456501007,-0.9807852506637572
NaN,0.1622116565704345,0.9807852506637572
0.2126075327396392,0.3181896507740021,0.9238795042037964
0.3086582720279693,0.4619396924972534,0.8314695954322815
0.39284747838974,0.5879377722740173,0.7071067690849304
0.4619396924972534,0.6913415789604187,NaN
0.513279914855957,NaN,0.3826834559440613
0.5448951125144958,0.815493106842041,0.1950903236865997
0.5555702447891235,0.8314694762229919,0.0
0.5448951125144958,0.815493106842041,-0.1950903236865997
0.513279914855957,0.7681776881217957,-0.3826834559440613
0.4619396924972534,0.6913415789604187,-0.5555702447891235
0.39284747838974,0.5879377722740173,-0.7071067690849304
0.3086582720279693,0.4619396924972534,-0.8314695954322815
0.2126075327396392,0.3181896507740021,-0.9238795042037964
0.1083863675594329,0.1622116565704345,-0.9807852506637572
0.1379496753215789,0.1379496604204177,0.9807852506637572
0.2705980539321899,0.2705980241298675,0.9238795042037964
0.3928474485874176,0.3928473889827728,0.8314695954322815
0.5,0.5,0.7071067690849304
0.5879377126693726,0.5879376530647278,0.5555702447891235
0.6532813906669617,0.6532814502716064,0.3826834559440613
0.6935198903083801,0.6935198307037354,0.1950903236865997
0.7071067690849304,0.7071065902709961,0.0
0.6935198903083801,NaN,-0.1950903236865997
0.6532813906669617,0.6532814502716064,-0.3826834559440613
0.5879377126693726,0.5879376530647278,-0.5555702447891235
0.5,0.5,-0.7071067690849304
0.3928474485874176,0.3928473889827728,-0.8314695954322815
0.2705980539321899,0.2705980241298675,-0.9238795042037964
0.1379496753215789,0.1379496604204177,-0.9807852506637572
0.1622116565704345,0.1083863526582717,0.9807852506637572
0.3181896507740021,0.2126075029373169,0.9238795042037964
0.4619397222995758,0.3086582124233246,0.8314695954322815
0.5879377722740173,0.39284747838974,0.7071067690849304
0.6913416385650635,NaN,0.5555702447891235
0.7681776285171509,0.5132799744606018,0.3826834559440613
0.815493106842041,NaN,0.1950903236865997
0.8314695358276367,0.5555700063705444,0.0
0.815493106842041,0.5448949933052063,-0.1950903236865997
0.7681776285171509,0.5132799744606018,NaN
0.6913416385650635,0.4619396328926086,-0.5555702447891235
0.5879377722740173,0.39284747838974,-0.7071067690849304
0.4619397222995758,0.3086582124233246,-0.8314695954322815
0.3181896507740021,0.2126075029373169,-0.9238795042037964
0.1622116565704345,0.1083863526582717,-0.9807852506637572
0.0,0.0,1.0
0.1802399158477783,0.0746578127145767,0.9807852506637572
0.3535533547401428,0.1464465856552124,0.9238795042037964
0.513279914855957,0.2126074582338333,0.8314695954322815
0.6532814502716064,0.2705980539321899,0.7071067690849304
0.7681776285171509,0.3181895017623901,NaN
0.853553295135498,0.3535534143447876,0.3826834559440613
0.9061273336410522,0.3753301501274109,0.1950903236865997
0.9238793849945068,0.3826832175254822,0.0
0.9061273336410522,0.3753301501274109,-0.1950903236865997
0.853553295135498,0.3535534143447876,-0.3826834559440613
0.7681776285171509,0.3181895017623901,-0.5555702447891235
0.6532814502716064,0.2705980539321899,-0.7071067690849304
0.513279914855957,0.2126074582338333,-0.8314695954322815
0.3535533547401428,0.1464465856552124,-0.9238795042037964
0.1802399158477783,0.0746578127145767,-0.9807852506637572
0.1913416683673858,0.0380602143704891,0.9807852506637572
0.375330239534378,NaN,0.9238795042037964
0.5448950529098511,0.1083863154053688,0.8314695954322815
0.6935198903083801,0.1379497051239013,0.7071067690849304
0.8154929876327515,0.1622115671634674,0.5555702447891235
0.9061273336410522,0.1802399903535843,0.3826834559440613
0.9619396328926086,0.1913416087627411,0.1950903236865997
0.980785071849823,0.1950901299715042,0.0
0.9619396328926086,0.1913416087627411,-0.1950903236865997
0.9061273336410522,0.1802399903535843,-0.3826834559440613
NaN,0.1622115671634674,-0.5555702447891235
0.6935198903083801,0.1379497051239013,-0.7071067690849304
0.5448950529098511,0.1083863154053688,-0.8314695954322815
0.375330239534378,0.0746578127145767,-0.9238795042037964
0.1913416683673858,0.0380602143704891,-0.9807852506637572
0.1950902640819549,-1.1175870895385742e-08,0.9807852506637572
0.3826833963394165,-2.2351741790771484e-08,0.9238795042037964
0.555570125579834,-5.21540641784668e-08,0.8314695954322815
0.7071067094802856,1.4901161193847656e-08,0.7071067690849304
0.8314694166183472,-8.940696716308595e-08,0.5555702447891235
0.9238794445991516,4.4703483581542975e-08,0.3826834559440613
0.9807851314544678,NaN,0.1950903236865997
0.999999701976776,NaN,0.0
NaN,-8.940696716308595e-08,-0.1950903236865997
0.9238794445991516,4.4703483581542975e-08,-0.3826834559440613
0.8314694166183472,-8.940696716308595e-08,-0.5555702447891235
0.7071067094802856,1.4901161193847656e-08,-0.7071067690849304
0.555570125579834,-5.21540641784668e-08,-0.8314695954322815
0.3826833963394165,-2.2351741790771484e-08,-0.9238795042037964
0.1950902640819549,-1.1175870895385742e-08,-0.9807852506637572
0.1913416534662246,-0.0380602329969406,0.9807852506637572
0.375330239534378,NaN,0.9238795042037964
0.5448949933052063,-0.1083864048123359,0.8314695954322815
0.6935198307037354,NaN,0.7071067690849304
0.8154929280281067,-0.1622117310762405,0.5555702447891235
NaN,-0.1802399009466171,0.3826834559440613
0.961939573287964,-0.1913417726755142,0.1950903236865997
0.9807848930358888,-0.1950904279947281,0.0
0.961939573287964,-0.1913417726755142,-0.1950903236865997
0.9061273336410522,-0.1802399009466171,-0.3826834559440613
0.8154929280281067,-0.1622117310762405,-0.5555702447891235
0.6935198307037354,-0.1379496604204177,-0.7071067690849304
0.5448949933052063,-0.1083864048123359,-0.8314695954322815
0.375330239534378,-0.0746578499674797,-0.9238795042037964
0.1913416534662246,-0.0380602329969406,-0.9807852506637572
0.1802398860454559,-0.0746578201651573,0.9807852506637572
0.3535533547401428,-0.1464466154575348,0.9238795042037964
0.5132797956466675,-0.2126075327396392,0.8314695954322815
0.6532813906669617,-0.2705979943275451,0.7071067690849304
0.7681775093078613,-0.3181896507740021,0.5555702447891235
0.853553295135498,-0.353553295135498,0.3826834559440613
0.9061272144317628,-0.3753302991390228,0.1950903236865997
0.923879086971283,-0.3826834559440613,0.0
0.9061272144317628,-0.3753302991390228,-0.1950903236865997
0.853553295135498,-0.353553295135498,-0.3826834559440613
0.7681775093078613,-0.3181896507740021,-0.5555702447891235
0.6532813906669617,-0.2705979943275451,-0.7071067690849304
0.5132797956466675,-0.2126075327396392,-0.8314695954322815
0.3535533547401428,-0.1464466154575348,-0.9238795042037964
0.1802398860454559,-0.0746578201651573,-0.9807852506637572
0.1622115969657898,-0.1083863377571106,0.9807852506637572
0.3181895911693573,-0.2126075178384781,0.9238795042037964
0.4619395732879638,-0.308658242225647,0.8314695954322815
0.5879377126693726,-0.3928474187850952,0.7071067690849304
0.6913414597511292,-0.4619396924972534,0.5555702447891235
0.7681776285171509,-0.5132798552513123,0.3826834559440613
0.8154929280281067,-0.5448950529098511,0.1950903236865997
0.8314691185951233,-0.5555701851844788,0.0
0.8154929280281067,-0.5448950529098511,-0.1950903236865997
0.7681776285171509,-0.5132798552513123,-0.3826834559440613
0.6913414597511292,-0.4619396924972534,-0.5555702447891235
0.5879377126693726,-0.3928474187850952,NaN
0.4619395732879638,-0.308658242225647,-0.8314695954322815
0.3181895911693573,-0.2126075178384781,-0.9238795042037964
0.1622115969657898,-0.1083863377571106,-0.9807852506637572
0.1379496157169342,-0.1379496306180954,0.9807852506637572
0.2705979645252228,-0.2705980241298675,0.9238795042037964
0.3928472697734833,-0.3928474187850952,0.8314695954322815
0.4999999403953552,-0.4999999403953552,0.7071067690849304
0.5879375338554382,-0.5879376530647278,0.5555702447891235
0.6532813906669617,-0.6532813310623169,0.3826834559440613
0.6935197114944458,-0.6935198307037354,0.1950903236865997
